ranks,links,directors,posters,titles,years,meter_scores,critics,synopses,casts
1,https://www.rottentomatoes.com/m/grave_of_the_fireflies,['Isao Takahata'],https://resizing.flixster.com/1bSwk0DFgz24YvDnefq8fCGTfAk=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p158931_p_v8_aa.jpg,Grave of the Fireflies,1988,100%,"An achingly sad anti-war film, Grave of the Fireflies is one of Studio Ghibli's most profoundly beautiful, haunting works.",A teenager (J. Robert Spencer) is charged with the care of his younger sister (Rhoda Chrosite) after an Allied firebombing... [More],"['J. Robert Spencer', ' Rhoda Chrosite', ' Amy Jones', ' Kathleen McInerney']"
2,https://www.rottentomatoes.com/m/a_man_escaped,['Robert Bresson'],https://resizing.flixster.com/6piMO8yp4xz1X-2EvNvTECTdOCU=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p12336_p_v8_aa.jpg,A Man Escaped,1956,100%,"A Man Escaped is blockbuster Bresson, a well-acted POW drama that builds with subtle, seat-gripping tension.","In a film based on the writings of French Resistance fighter and POW André Devigny, Fontaine (François Leterrier) is being... [More]","['François Leterrier', ' Charles Le Clainche', ' Maurice Beerblock', ' Roland Monod']"
3,https://www.rottentomatoes.com/m/1003707-casablanca,['Michael Curtiz'],https://resizing.flixster.com/baYcpNSS4GEn7cPoW3chiWuoYyw=/fit-in/180x240/v2/https://resizing.flixster.com/wcaZelGoDPS575ju3tWP7-tBM20=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzUxNjQ2ZTQzLTJlNmItNGViYS05MDYyLWIzYTY5YzNhMzI3NS5qcGc=,Casablanca,1942,99%,"An undisputed masterpiece and perhaps Hollywood's quintessential statement on love and romance, Casablanca has only improved with age, boasting career-defining performances from Humphrey Bogart and Ingrid Bergman.","Rick Blaine (Humphrey Bogart), who owns a nightclub in Casablanca, discovers his old flame Ilsa (Ingrid Bergman) is in town... [More]","['Humphrey Bogart', ' Ingrid Bergman', ' Paul Henreid', ' Claude Rains']"
4,https://www.rottentomatoes.com/m/the_battle_of_algiers,['Gillo Pontecorvo'],https://resizing.flixster.com/EDW2LGAzrkaDm56oq-cj4OhF8g8=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p379_p_v8_ag.jpg,The Battle of Algiers,1966,99%,"A documentary-like depiction of a nation's real-life efforts to expel a colonizing force, The Battle of Algiers puts viewers on the front lines with gripping realism.","Paratrooper commander Colonel Mathieu (Jean Martin), a former French Resistance fighter during World War II, is sent to 1950s Algeria... [More]","['Jean Martin', ' Yacef Saadi', ' Brahim Haggiag', ' Tommaso Neri']"
5,https://www.rottentomatoes.com/m/1029042-henry_v,['Kenneth Branagh'],https://resizing.flixster.com/z_UZ3mZVWAwJqArc-KZ9DiCAmKk=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p11870_p_v8_ad.jpg,Henry V,1989,98%,"Pehaps Kenneth Branagh's most fully realized Shakespeare adaptation, Henry V is an energetic, passionate, and wonderfully acted film.","In this gritty screen adaptation of Shakespeare's play about the heroic and ruthless king, Henry V of England (Kenneth Branagh)... [More]","['Kenneth Branagh', ' Derek Jacobi', ' Brian Blessed', ' Ian Holm']"
6,https://www.rottentomatoes.com/m/schindlers_list,['Steven Spielberg'],https://resizing.flixster.com/CyCMZt28ObVjCxE8FXnVeGTOz2s=/fit-in/180x240/v2/https://resizing.flixster.com/P3NTptLJcIlWlLQwZMTWcITYaoY=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzlmMTBiZGYxLTFjZTctNGZiZS05OGU4LTAxNGIzNGZmNTVlMy5qcGc=,Schindler's List,1993,98%,Schindler's List blends the abject horror of the Holocaust with Steven Spielberg's signature tender humanism to create the director's dramatic masterpiece.,"Businessman Oskar Schindler (Liam Neeson) arrives in Krakow in 1939, ready to make his fortune from World War II, which... [More]","['Liam Neeson', ' Ben Kingsley', ' Ralph Fiennes', ' Caroline Goodall']"
7,https://www.rottentomatoes.com/m/apocalypse_now,['Francis Ford Coppola'],https://resizing.flixster.com/JeBaXZGgx3ozRy8qMNYXsmZVuOs=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p5545_p_v8_at.jpg,Apocalypse Now,1979,97%,"Francis Ford Coppola's haunting, hallucinatory Vietnam War epic is cinema at its most audacious and visionary.","In Vietnam in 1970, Captain Willard (Martin Sheen) takes a perilous and increasingly hallucinatory journey upriver to find and terminate... [More]","['Marlon Brando', ' Martin Sheen', ' Robert Duvall', ' Frederic Forrest']"
8,https://www.rottentomatoes.com/m/dr_strangelove,['Stanley Kubrick'],https://resizing.flixster.com/8N9vcOffBrqT47MzfxjqiMVir7g=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p1816_p_v8_aa.jpg,Dr. Strangelove Or: How I Learned to Stop Worrying and Love the Bomb,1964,98%,Stanley Kubrick's brilliant Cold War satire remains as funny and razor-sharp today as it was in 1964.,A film about what could happen if the wrong person pushed the wrong button -- and it played the situation... [More],"['Peter Sellers', ' George C. Scott', ' Keenan Wynn', ' Slim Pickens']"
9,https://www.rottentomatoes.com/m/all_quiet_on_the_western_front,['Lewis Milestone'],https://resizing.flixster.com/iVkPRD5rgxGvku3CwbAyPlTbrY0=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p593_p_v8_al.jpg,All Quiet on the Western Front,1930,98%,"Director Lewis Milestone's brilliant anti-war polemic, headlined by an unforgettable performance from Lew Ayres, lays bare the tragic foolishness at the heart of war.","The film follows a group of German schoolboys, talked into enlisting at the beginning of World War I by their... [More]","['Lew Ayres', ' Louis Wolheim', ' John Wray', ' Raymond Griffith']"
10,https://www.rottentomatoes.com/m/das_boot,['Wolfgang Petersen'],https://resizing.flixster.com/XFG7ixSNHTWj5k8KgPd5cnNJ8Zo=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p5549_p_v13_aw.jpg,Das Boot,1981,98%,"Taut, breathtakingly thrilling, and devastatingly intelligent, Das Boot is one of the greatest war films ever made.","A German submarine patrols the Atlantic Ocean during World War II, manned by a crew that must contend with tense... [More]","['Jürgen Prochnow', ' Herbert Grönemeyer', ' Klaus Wennemann', ' Hubertus Bengsch']"
11,https://www.rottentomatoes.com/m/the_hurt_locker,['Kathryn Bigelow'],https://resizing.flixster.com/zuAyQ9uz_A9GxiioPpb0FoA72IM=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p197175_p_v8_ah.jpg,The Hurt Locker,2008,96%,"A well-acted, intensely shot, action filled war epic, Kathryn Bigelow's The Hurt Locker is thus far the best of the recent dramatizations of the Iraq War.","Staff Sgt. William James (Jeremy Renner), Sgt. J.T. Sanborn (Anthony Mackie) and Specialist Owen Eldridge (Brian Geraghty) are members of... [More]","['Jeremy Renner', ' Anthony Mackie', ' Brian Geraghty', ' Guy Pearce']"
12,https://www.rottentomatoes.com/m/best_years_of_our_lives,['William Wyler'],https://resizing.flixster.com/syb0jFTD5OkAU9nd5H3KvzbB8MU=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p1312_p_v8_aa.jpg,The Best Years of Our Lives,1946,97%,"An engrossing look at the triumphs and travails of war veterans, The Best Years of Our Lives is concerned specifically with the aftermath of World War II, but its messages speak to the overall American experience.","Fred, Al and Homer are three World War II veterans facing difficulties as they re-enter civilian life. Fred (Dana Andrews)... [More]","['Fredric March', ' Myrna Loy', ' Dana Andrews', ' Teresa Wright']"
